time,rss_mb,cpu_pct
07:20:52,95.9,65.8
07:21:22,103.0,74.2
07:21:52,103.7,88.9
07:22:22,104.1,104.3
07:22:52,102.9,119.7
07:23:22,103.8,135.3
07:23:52,103.0,150.9
07:24:22,101.7,165.9
07:24:52,102.5,181.7
07:25:22,102.9,197.8
07:25:52,102.9,213.7
07:26:22,103.6,229.2
07:26:52,102.2,244.6
07:27:22,103.6,260.3
07:27:52,102.7,275.4
07:28:22,104.1,290.7
07:28:52,102.9,306.8
07:29:22,102.5,322.1
07:29:52,103.2,336.8
07:30:22,103.0,352.4
07:30:52,102.9,368.1
07:31:22,105.1,383.6
07:31:52,102.8,399.4
07:32:22,103.2,415.5
07:32:52,104.0,430.8
07:33:22,103.6,446.0
07:33:52,103.1,461.9
07:34:22,104.1,477.7
07:34:52,104.0,492.8
07:35:22,103.2,508.2
07:35:52,59.7,518.3
